,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Firmicutes;Erysipelotrichia,1.587301587,0,2.173913043,5.882352941,3.773584906,8.333333333,50,0,0,12.5,0,15.625,9.090909091,27.27272727,12.28070175,8.333333333,29.03225806,40.74074074,42.85714286,15.38461538,40,9.523809524,14.81481481,10,0,0,0,33.33333333,5.882352941,0,9.523809524,0,40,0,0,11.11111111,25,68.51851852,6.896551724,30,55.55555556
Bacteria;Firmicutes;Negativicutes,7.936507937,4.545454545,0,47.05882353,5.660377358,1.666666667,0,0,50,12.5,11.32075472,43.75,0,13.63636364,3.50877193,0,22.58064516,27.77777778,57.14285714,57.69230769,0,0,7.407407407,15,12.5,28.57142857,28.57142857,33.33333333,17.64705882,0,4.761904762,80,40,21.05263158,33.33333333,22.22222222,27.77777778,7.407407407,3.448275862,48.33333333,19.44444444
Bacteria;Firmicutes;__,26.98412698,13.63636364,8.695652174,64.70588235,39.62264151,46.66666667,100,0,25,50,32.0754717,34.375,63.63636364,54.54545455,35.0877193,58.33333333,100,85.18518519,71.42857143,61.53846154,40,28.57142857,66.66666667,13.33333333,25,14.28571429,71.42857143,100,11.76470588,33.33333333,33.33333333,20,40,26.31578947,50,11.11111111,71.2962963,59.25925926,34.48275862,88.33333333,77.77777778
Bacteria;Firmicutes;unclassified_Firmicutes,4.761904762,9.090909091,0,0,7.547169811,8.333333333,25,0,0,25,11.32075472,3.125,0,13.63636364,3.50877193,16.66666667,3.225806452,16.66666667,0,7.692307692,0,4.761904762,11.11111111,3.333333333,12.5,0,0,0,0,0,14.28571429,20,20,0,0,0,7.407407407,3.703703704,3.448275862,5,11.11111111
Bacteria;Fusobacteria;Fusobacteriia,6.349206349,68.18181818,6.52173913,23.52941176,3.773584906,5,50,0,25,0,62.26415094,18.75,36.36363636,27.27272727,1.754385965,25,90.32258065,48.14814815,28.57142857,53.84615385,20,4.761904762,27.77777778,11.66666667,25,14.28571429,0,0,29.41176471,0,19.04761905,0,20,21.05263158,50,33.33333333,42.59259259,72.22222222,10.34482759,73.33333333,30.55555556
Bacteria;Gemmatimonadetes;Gemmatimonadetes,3.174603175,13.63636364,6.52173913,5.882352941,0,5,0,66.66666667,75,0,67.9245283,0,0,0,7.01754386,0,0,0,0,0,0,0,0,1.666666667,12.5,0,57.14285714,0,17.64705882,0,0,20,20,68.42105263,33.33333333,44.44444444,3.703703704,5.555555556,6.896551724,5,0
Bacteria;Hydrogenedentes;CandidatusHydrogenedens,1.587301587,0,0,0,1.886792453,1.666666667,25,0,25,0,1.886792453,0,0,0,8.771929825,8.333333333,3.225806452,0,0,0,0,0,0,0,0,0,0,33.33333333,0,0,0,0,0,0,0,0,5.555555556,0,6.896551724,3.333333333,0
Bacteria;Ignavibacteriae;Ignavibacteria,11.11111111,0,2.173913043,5.882352941,1.886792453,5,25,0,0,0,58.49056604,3.125,0,0,5.263157895,25,12.90322581,1.851851852,28.57142857,0,4,0,3.703703704,0,0,0,0,0,0,0,0,20,0,10.52631579,0,0,9.259259259,1.851851852,3.448275862,5,0
Bacteria;Latescibacteria;Latescibacteria_genera_incertae_sedis,6.349206349,0,0,0,0,1.666666667,0,0,0,0,0,3.125,0,0,7.01754386,16.66666667,0,0,0,3.846153846,0,0,5.555555556,3.333333333,0,0,14.28571429,0,0,0,0,0,0,0,0,0,6.481481481,0,6.896551724,0,0
Bacteria;Lentisphaerae;Lentisphaeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.407407407,0,0,0
